GeneID	H(c|x)	p_e
si:ch211-150g13.3	6.2601e-01	2.7191e-01
ndst1a	6.2602e-01	2.7191e-01
si:dkey-91m11.5	6.2603e-01	2.7192e-01
drd1b	6.2604e-01	2.7193e-01
si:ch211-236g6.1	6.2605e-01	2.7194e-01
si:ch211-214c20.1	6.2605e-01	2.7194e-01
smyd1b	6.2606e-01	2.7194e-01
CT027609.1	6.2607e-01	2.7195e-01
ppip5k1a	6.2607e-01	2.7195e-01
elk4	6.2609e-01	2.7197e-01
si:dkey-56m15.6	6.2609e-01	2.7197e-01
si:ch73-368j24.11	6.2610e-01	2.7198e-01
CABZ01081830.2	6.2613e-01	2.7200e-01
pimr138	6.2615e-01	2.7201e-01
msrb3	6.2617e-01	2.7203e-01
cox4i2	6.2617e-01	2.7203e-01
fam198b	6.2617e-01	2.7203e-01
prickle1a	6.2621e-01	2.7206e-01
arap3	6.2621e-01	2.7206e-01
sftpba	6.2621e-01	2.7206e-01
cyb5r3	6.2622e-01	2.7207e-01
zmat4a	6.2622e-01	2.7207e-01
pax1b	6.2623e-01	2.7208e-01
mc2r	6.2625e-01	2.7209e-01
si:dkey-85k7.12	6.2627e-01	2.7210e-01
adgre16	6.2627e-01	2.7211e-01
sowahaa	6.2628e-01	2.7211e-01
map1lc3cl	6.2628e-01	2.7212e-01
rnpepl1	6.2628e-01	2.7212e-01
lrrtm2	6.2628e-01	2.7212e-01
slc16a3	6.2629e-01	2.7212e-01
anxa2b	6.2631e-01	2.7214e-01
vgll2b	6.2631e-01	2.7214e-01
cep350	6.2632e-01	2.7214e-01
kti12	6.2632e-01	2.7214e-01
mphosph10	6.2632e-01	2.7215e-01
FP236542.1	6.2632e-01	2.7215e-01
adamts18	6.2634e-01	2.7216e-01
zgc:114200	6.2634e-01	2.7216e-01
sinup	6.2634e-01	2.7216e-01
znf1015	6.2635e-01	2.7217e-01
cubn	6.2636e-01	2.7217e-01
nr2f5	6.2638e-01	2.7219e-01
wasf1	6.2638e-01	2.7219e-01
si:dkey-146m20.14	6.2638e-01	2.7219e-01
crygm2d10	6.2639e-01	2.7220e-01
pdlim2	6.2639e-01	2.7220e-01
adamts3	6.2640e-01	2.7221e-01
klhdc7a	6.2640e-01	2.7221e-01
hook1	6.2640e-01	2.7221e-01
sptbn1	6.2641e-01	2.7221e-01
nfkbib	6.2641e-01	2.7222e-01
samd1b	6.2641e-01	2.7222e-01
srfbp1	6.2642e-01	2.7222e-01
CABZ01059627.1	6.2642e-01	2.7222e-01
zgc:171599	6.2643e-01	2.7223e-01
tnfrsf1a	6.2643e-01	2.7223e-01
si:dkey-160o24.3	6.2644e-01	2.7224e-01
cyp17a2	6.2644e-01	2.7224e-01
adcy5	6.2646e-01	2.7225e-01
calhm5.2	6.2646e-01	2.7226e-01
iba57	6.2647e-01	2.7226e-01
si:dkey-37o8.1	6.2648e-01	2.7227e-01
rasef	6.2648e-01	2.7227e-01
si:dkey-30c15.17	6.2650e-01	2.7228e-01
tceb3l	6.2650e-01	2.7228e-01
rab4b	6.2650e-01	2.7229e-01
sema3bl	6.2653e-01	2.7231e-01
lbx2	6.2657e-01	2.7234e-01
slco1f3	6.2657e-01	2.7234e-01
frmd8	6.2659e-01	2.7235e-01
slc15a2	6.2659e-01	2.7235e-01
zgc:175088	6.2659e-01	2.7235e-01
si:dkey-237j10.2	6.2659e-01	2.7235e-01
tsku	6.2659e-01	2.7235e-01
tlr4ba	6.2659e-01	2.7236e-01
valopa	6.2660e-01	2.7236e-01
lamb1b	6.2660e-01	2.7236e-01
zgc:123321	6.2661e-01	2.7237e-01
si:ch211-263p13.7	6.2661e-01	2.7237e-01
ccdc88c	6.2661e-01	2.7237e-01
clcn5b	6.2662e-01	2.7237e-01
znf592	6.2663e-01	2.7238e-01
si:dkey-208k22.6	6.2663e-01	2.7239e-01
si:dkeyp-82b4.2	6.2665e-01	2.7240e-01
bin2b	6.2666e-01	2.7240e-01
specc1la	6.2666e-01	2.7241e-01
tshr	6.2668e-01	2.7242e-01
si:ch211-152c2.3	6.2668e-01	2.7242e-01
elmod2	6.2668e-01	2.7242e-01
LO018020.3	6.2669e-01	2.7243e-01
CT025887.1	6.2669e-01	2.7243e-01
cdc42ep5	6.2671e-01	2.7245e-01
zgc:174906	6.2672e-01	2.7245e-01
hhipl1	6.2673e-01	2.7246e-01
gria3b	6.2675e-01	2.7248e-01
purba	6.2676e-01	2.7248e-01
foxp4	6.2678e-01	2.7250e-01
arhgap15	6.2679e-01	2.7251e-01
atp2b3a	6.2681e-01	2.7252e-01
hao2	6.2682e-01	2.7253e-01
gpd1a	6.2682e-01	2.7253e-01
BX649295.2	6.2683e-01	2.7253e-01
si:dkey-201i24.3	6.2683e-01	2.7254e-01
commd7	6.2685e-01	2.7255e-01
CABZ01077217.1	6.2686e-01	2.7256e-01
odf2a	6.2688e-01	2.7257e-01
lnx2b	6.2689e-01	2.7258e-01
RFESD (1 of many)	6.2689e-01	2.7258e-01
odf3b	6.2689e-01	2.7259e-01
tmco1	6.2690e-01	2.7259e-01
si:ch73-109d9.3	6.2691e-01	2.7260e-01
zfpm2b	6.2691e-01	2.7260e-01
areg	6.2692e-01	2.7261e-01
hpgd	6.2694e-01	2.7262e-01
slc7a14b	6.2696e-01	2.7264e-01
tubgcp2	6.2697e-01	2.7265e-01
zgc:152891	6.2698e-01	2.7265e-01
wdhd1	6.2699e-01	2.7266e-01
si:ch211-269k10.2	6.2699e-01	2.7266e-01
pgr	6.2703e-01	2.7269e-01
cep128	6.2703e-01	2.7269e-01
cyp1a	6.2704e-01	2.7270e-01
nectin4	6.2704e-01	2.7270e-01
fryl	6.2704e-01	2.7270e-01
chst2b	6.2705e-01	2.7270e-01
ptprc	6.2705e-01	2.7270e-01
pebp1	6.2707e-01	2.7272e-01
scn1bb	6.2707e-01	2.7272e-01
prkg1a	6.2708e-01	2.7273e-01
metap2b	6.2709e-01	2.7273e-01
si:ch211-243j20.2	6.2710e-01	2.7274e-01
galnt18b	6.2710e-01	2.7274e-01
gpd1c	6.2710e-01	2.7275e-01
sppl2	6.2712e-01	2.7276e-01
lrrc38b	6.2712e-01	2.7276e-01
lyve1a	6.2715e-01	2.7278e-01
nudt5	6.2717e-01	2.7280e-01
cplx3a	6.2717e-01	2.7280e-01
prf1.8	6.2717e-01	2.7280e-01
g6pd	6.2719e-01	2.7281e-01
cx52.9	6.2719e-01	2.7281e-01
hsd17b2	6.2720e-01	2.7282e-01
si:ch1073-186o8.3	6.2720e-01	2.7282e-01
obscna	6.2721e-01	2.7283e-01
CABZ01019904.1	6.2721e-01	2.7283e-01
si:ch211-247j9.1	6.2721e-01	2.7283e-01
cbx4	6.2723e-01	2.7284e-01
ifit12	6.2724e-01	2.7285e-01
col24a1	6.2725e-01	2.7286e-01
pacsin2	6.2726e-01	2.7287e-01
tex2l	6.2727e-01	2.7287e-01
dcun1d2b	6.2727e-01	2.7288e-01
trpc5a	6.2728e-01	2.7288e-01
plppr3b	6.2728e-01	2.7288e-01
nhsl1b	6.2728e-01	2.7289e-01
si:dkey-28d5.7	6.2728e-01	2.7289e-01
nrn1la	6.2729e-01	2.7289e-01
si:ch211-197h24.8	6.2730e-01	2.7290e-01
sdf2l1	6.2730e-01	2.7290e-01
lctlb	6.2731e-01	2.7291e-01
gabrb3	6.2732e-01	2.7292e-01
sipa1l3	6.2733e-01	2.7292e-01
tlr2	6.2733e-01	2.7292e-01
si:dkey-98j1.5	6.2733e-01	2.7292e-01
si:ch211-250k18.6	6.2735e-01	2.7294e-01
ftr83	6.2735e-01	2.7294e-01
fgd1	6.2736e-01	2.7294e-01
sh3pxd2ab	6.2737e-01	2.7296e-01
otc	6.2737e-01	2.7296e-01
si:ch211-107e6.6	6.2738e-01	2.7296e-01
emsy	6.2739e-01	2.7297e-01
hhatlb	6.2740e-01	2.7298e-01
zcchc24	6.2741e-01	2.7298e-01
tmem230a	6.2741e-01	2.7298e-01
oxsr1a	6.2741e-01	2.7299e-01
adob	6.2741e-01	2.7299e-01
cx27.5	6.2742e-01	2.7299e-01
cnga2	6.2743e-01	2.7300e-01
zgc:101716	6.2744e-01	2.7301e-01
etv5a	6.2744e-01	2.7301e-01
adra2db	6.2745e-01	2.7301e-01
btr16	6.2745e-01	2.7302e-01
cyp27b1	6.2746e-01	2.7302e-01
vps28	6.2747e-01	2.7303e-01
dip2ca	6.2749e-01	2.7304e-01
clec11a	6.2750e-01	2.7306e-01
si:ch211-251f6.7	6.2751e-01	2.7306e-01
arrdc1b	6.2751e-01	2.7306e-01
cd247l	6.2754e-01	2.7308e-01
si:ch211-145b13.5	6.2755e-01	2.7309e-01
apcdd1l	6.2755e-01	2.7309e-01
CABZ01060030.1	6.2755e-01	2.7309e-01
abcc2	6.2756e-01	2.7310e-01
si:dkey-79d12.6	6.2756e-01	2.7310e-01
mbnl2	6.2756e-01	2.7310e-01
tmie	6.2759e-01	2.7312e-01
clec3bb	6.2759e-01	2.7312e-01
taf10	6.2759e-01	2.7312e-01
cpm	6.2760e-01	2.7313e-01
zbtb1	6.2761e-01	2.7314e-01
pdk2b	6.2761e-01	2.7314e-01
si:ch1073-228b5.2	6.2762e-01	2.7315e-01
nrarpb	6.2764e-01	2.7316e-01
btbd3b	6.2764e-01	2.7316e-01
kif5ba	6.2765e-01	2.7316e-01
CU633479.7	6.2765e-01	2.7317e-01
si:ch211-235m3.10	6.2765e-01	2.7317e-01
CT573264.1	6.2765e-01	2.7317e-01
RASSF5	6.2766e-01	2.7318e-01
ftr80	6.2766e-01	2.7318e-01
nedd4l	6.2766e-01	2.7318e-01
trim46b	6.2766e-01	2.7318e-01
SLC9A1	6.2767e-01	2.7318e-01
smg9	6.2768e-01	2.7319e-01
rad51d	6.2769e-01	2.7320e-01
ubfd1	6.2769e-01	2.7320e-01
rnasen	6.2770e-01	2.7321e-01
hgs	6.2770e-01	2.7321e-01
chmp7	6.2771e-01	2.7321e-01
naa30	6.2771e-01	2.7321e-01
si:ch211-149k12.3	6.2771e-01	2.7322e-01
pisd	6.2771e-01	2.7322e-01
CT990567.1	6.2773e-01	2.7323e-01
chrd	6.2773e-01	2.7323e-01
nanos3	6.2775e-01	2.7324e-01
mtmr7b	6.2777e-01	2.7326e-01
whrnb	6.2777e-01	2.7326e-01
zbtb33	6.2778e-01	2.7327e-01
klf1	6.2780e-01	2.7328e-01
si:dkey-201g16.5	6.2780e-01	2.7329e-01
aqp10a	6.2781e-01	2.7329e-01
slc25a15a	6.2782e-01	2.7330e-01
pcyox1	6.2782e-01	2.7330e-01
ap5m1	6.2783e-01	2.7331e-01
bbs12	6.2783e-01	2.7331e-01
ankrd34ba	6.2784e-01	2.7332e-01
npffr1l2	6.2785e-01	2.7332e-01
tra2b	6.2785e-01	2.7332e-01
zgc:92518	6.2788e-01	2.7335e-01
bccip	6.2789e-01	2.7335e-01
cltb	6.2789e-01	2.7335e-01
coa7	6.2790e-01	2.7336e-01
zgc:153395	6.2792e-01	2.7338e-01
zgc:112163	6.2793e-01	2.7338e-01
dkk1a	6.2793e-01	2.7339e-01
si:ch211-113d22.2	6.2793e-01	2.7339e-01
zgc:171711	6.2795e-01	2.7340e-01
spsb3b	6.2796e-01	2.7341e-01
mcm10	6.2796e-01	2.7341e-01
zgc:111976	6.2797e-01	2.7342e-01
chrnb2b	6.2797e-01	2.7342e-01
mlip	6.2798e-01	2.7342e-01
si:dkey-20i20.10	6.2798e-01	2.7343e-01
si:ch211-147h1.4	6.2799e-01	2.7343e-01
pimr61	6.2799e-01	2.7343e-01
zbtb12.2	6.2800e-01	2.7344e-01
ttpal	6.2800e-01	2.7344e-01
pex2	6.2801e-01	2.7344e-01
kank1a	6.2802e-01	2.7345e-01
psip1a	6.2806e-01	2.7348e-01
si:ch211-286c4.6	6.2808e-01	2.7350e-01
tap1	6.2808e-01	2.7350e-01
znf1014	6.2809e-01	2.7351e-01
eci1	6.2810e-01	2.7351e-01
spred3	6.2810e-01	2.7352e-01
LRFN3	6.2810e-01	2.7352e-01
capn2b	6.2811e-01	2.7352e-01
or133-4	6.2811e-01	2.7353e-01
adgrl3.1	6.2812e-01	2.7353e-01
si:dkey-92j12.5	6.2814e-01	2.7354e-01
znf593	6.2815e-01	2.7355e-01
mcl1b	6.2816e-01	2.7356e-01
zgc:172145	6.2817e-01	2.7357e-01
six4a	6.2818e-01	2.7358e-01
CU856622.1	6.2820e-01	2.7359e-01
BX571760.1	6.2821e-01	2.7360e-01
mipol1	6.2821e-01	2.7360e-01
reep1	6.2822e-01	2.7360e-01
slc2a2	6.2822e-01	2.7361e-01
hcn4l	6.2823e-01	2.7361e-01
mllt1b	6.2823e-01	2.7362e-01
scrn3	6.2824e-01	2.7363e-01
e2f5	6.2825e-01	2.7363e-01
si:ch211-28p3.4	6.2826e-01	2.7364e-01
slc16a9a	6.2826e-01	2.7364e-01
gabpa	6.2827e-01	2.7365e-01
si:dkeyp-85d8.1	6.2828e-01	2.7365e-01
CABZ01081294.1	6.2829e-01	2.7366e-01
si:dkey-256e7.8	6.2829e-01	2.7366e-01
ms4a17a.4	6.2830e-01	2.7367e-01
marco	6.2831e-01	2.7368e-01
cemip	6.2834e-01	2.7370e-01
ppp1r12a	6.2835e-01	2.7371e-01
rlbp1b	6.2836e-01	2.7372e-01
si:ch211-171h4.5	6.2837e-01	2.7372e-01
cldn15b	6.2837e-01	2.7372e-01
erlec1	6.2838e-01	2.7373e-01
chata	6.2838e-01	2.7374e-01
mark3a	6.2839e-01	2.7374e-01
abhd3	6.2840e-01	2.7375e-01
map1lc3c	6.2841e-01	2.7375e-01
si:ch211-114l13.12	6.2841e-01	2.7375e-01
adam17a	6.2841e-01	2.7376e-01
lamtor4	6.2842e-01	2.7376e-01
trappc12	6.2843e-01	2.7377e-01
znf1157	6.2845e-01	2.7379e-01
limk2	6.2846e-01	2.7379e-01
zgc:153929	6.2847e-01	2.7380e-01
