GeneID	H(c|x)	p_e
CR925744.1	1.5873e-02	2.2344e-03
si:ch211-1f22.16	2.9491e-02	4.6251e-03
hmgn2	3.4615e-02	5.5959e-03
gadd45gb.1	3.6466e-02	5.9551e-03
tmsb	5.4667e-02	9.7004e-03
mcm6	5.7023e-02	1.0211e-02
snrpd3	5.7039e-02	1.0215e-02
tubb5	5.7089e-02	1.0226e-02
ncaph	6.2881e-02	1.1507e-02
mcm4	6.9103e-02	1.2919e-02
tpx2	7.2876e-02	1.3793e-02
insm1a	7.5161e-02	1.4329e-02
tuba8l	8.0345e-02	1.5562e-02
rs1a	8.5650e-02	1.6849e-02
zgc:114119	8.6377e-02	1.7027e-02
cx43.4	8.7344e-02	1.7265e-02
nutf2l	9.1099e-02	1.8196e-02
mki67	9.4509e-02	1.9052e-02
igf2bp3	9.4560e-02	1.9065e-02
mcm5	9.6825e-02	1.9639e-02
msgn1	9.7474e-02	1.9804e-02
top2a	1.0009e-01	2.0475e-02
nusap1	1.0043e-01	2.0562e-02
bhlhe41	1.0107e-01	2.0728e-02
dbpb	1.0213e-01	2.1000e-02
kif11	1.0309e-01	2.1249e-02
cenph	1.0499e-01	2.1745e-02
cmc4	1.1149e-01	2.3460e-02
si:dkey-56m19.5	1.1534e-01	2.4492e-02
plk1	1.2519e-01	2.7186e-02
si:ch211-69g19.2	1.2591e-01	2.7385e-02
slc26a6l	1.2609e-01	2.7435e-02
ing4	1.2740e-01	2.7801e-02
ndc80	1.2816e-01	2.8013e-02
ppp1r14ba	1.2975e-01	2.8459e-02
hmgb2b	1.3035e-01	2.8626e-02
tyms	1.3241e-01	2.9210e-02
CABZ01058261.1	1.3349e-01	2.9515e-02
tubb2b	1.3670e-01	3.0429e-02
birc5a	1.3809e-01	3.0829e-02
si:dkey-176f19.1	1.3881e-01	3.1035e-02
hsbp1a	1.3971e-01	3.1295e-02
cnp	1.4176e-01	3.1888e-02
fxyd6l	1.4856e-01	3.3879e-02
hunk	1.4943e-01	3.4137e-02
sox11a	1.5258e-01	3.5074e-02
smarcad1b	1.5293e-01	3.5178e-02
kif15	1.5545e-01	3.5932e-02
rrm2	1.5573e-01	3.6016e-02
bcl2l16	1.5632e-01	3.6195e-02
rrm1	1.5724e-01	3.6472e-02
mad2l1	1.5810e-01	3.6732e-02
sae1	1.5814e-01	3.6743e-02
stmn1a	1.5917e-01	3.7057e-02
oprd1b	1.6001e-01	3.7312e-02
mis18bp1	1.6021e-01	3.7373e-02
rbm33b	1.6138e-01	3.7729e-02
mcm3	1.6367e-01	3.8431e-02
tmsb2	1.6495e-01	3.8824e-02
smc2	1.6570e-01	3.9055e-02
zgc:110540	1.6615e-01	3.9192e-02
tk1	1.6663e-01	3.9343e-02
cdk1	1.6795e-01	3.9752e-02
tuba8l4	1.6881e-01	4.0016e-02
tia1	1.6940e-01	4.0202e-02
tacc3	1.7000e-01	4.0386e-02
fabp11a	1.7685e-01	4.2541e-02
cyp2y3	1.7731e-01	4.2687e-02
h3f3c	1.7877e-01	4.3150e-02
nop58	1.7926e-01	4.3304e-02
snrpb2	1.7998e-01	4.3534e-02
ctc1	1.8385e-01	4.4776e-02
cdkn2a/b	1.8437e-01	4.4943e-02
mvda	1.8476e-01	4.5069e-02
pcyt1bb	1.8694e-01	4.5774e-02
soul5	1.8791e-01	4.6087e-02
actc1b	1.9016e-01	4.6821e-02
FO704624.1	1.9034e-01	4.6881e-02
glipr1b	1.9136e-01	4.7215e-02
adh8b	1.9188e-01	4.7385e-02
plk4	1.9225e-01	4.7506e-02
mibp2	1.9337e-01	4.7875e-02
cdca7a	1.9357e-01	4.7940e-02
lima1a	1.9425e-01	4.8163e-02
marcksa	1.9506e-01	4.8432e-02
snrpd3l	1.9560e-01	4.8608e-02
cdk2	1.9645e-01	4.8889e-02
h2afvb	1.9764e-01	4.9286e-02
slbp	2.0032e-01	5.0178e-02
hbaa2	2.0039e-01	5.0202e-02
rtca	2.0211e-01	5.0778e-02
hnrnpabb	2.0353e-01	5.1256e-02
nr1d1	2.0425e-01	5.1498e-02
rbbp4	2.0447e-01	5.1572e-02
si:ch211-222l21.1	2.0470e-01	5.1650e-02
taar13d	2.0503e-01	5.1761e-02
tefa	2.0548e-01	5.1911e-02
fem1b	2.0578e-01	5.2014e-02
snrnp40	2.0588e-01	5.2048e-02
fabp10a	2.0647e-01	5.2249e-02
hmgb3a	2.0779e-01	5.2696e-02
eef1a1l1	2.0868e-01	5.2999e-02
en2b	2.0871e-01	5.3007e-02
FO704721.1	2.0901e-01	5.3111e-02
tjp2b	2.0997e-01	5.3439e-02
smarca4a	2.1007e-01	5.3470e-02
kif23	2.1117e-01	5.3849e-02
cldn5b	2.1153e-01	5.3972e-02
si:ch211-244o22.2	2.1205e-01	5.4148e-02
h3f3d	2.1327e-01	5.4568e-02
ncapd2	2.1398e-01	5.4813e-02
eif2s3	2.1405e-01	5.4836e-02
rplp1	2.1421e-01	5.4891e-02
dkc1	2.1426e-01	5.4910e-02
cdca5	2.1428e-01	5.4915e-02
sox4a	2.1516e-01	5.5219e-02
mex3b	2.1709e-01	5.5886e-02
micall2b	2.1752e-01	5.6036e-02
rtkn2a	2.1790e-01	5.6170e-02
angptl7	2.1812e-01	5.6246e-02
dla	2.1852e-01	5.6384e-02
fbxo32	2.1868e-01	5.6440e-02
pold1	2.1871e-01	5.6449e-02
tmem179b	2.1956e-01	5.6748e-02
sparcl1	2.1988e-01	5.6856e-02
per1a	2.2053e-01	5.7085e-02
cdca7b	2.2056e-01	5.7096e-02
snrpb	2.2172e-01	5.7499e-02
DUT	2.2277e-01	5.7868e-02
rps19	2.2453e-01	5.8487e-02
chaf1a	2.2471e-01	5.8549e-02
arhgap11a	2.2511e-01	5.8693e-02
hmga1a	2.2511e-01	5.8693e-02
cdca8	2.2515e-01	5.8706e-02
dlb	2.2558e-01	5.8859e-02
g2e3	2.2578e-01	5.8927e-02
hmmr	2.2581e-01	5.8939e-02
si:ch211-8c17.4	2.2603e-01	5.9017e-02
rcc2	2.2774e-01	5.9623e-02
alcamb	2.2917e-01	6.0131e-02
eef2b	2.2956e-01	6.0267e-02
zgc:174888	2.3020e-01	6.0497e-02
tp53inp2	2.3226e-01	6.1234e-02
si:dkeyp-73d8.9	2.3336e-01	6.1629e-02
h3f3b.1	2.3493e-01	6.2190e-02
rps8a	2.3507e-01	6.2242e-02
ptmab	2.3514e-01	6.2266e-02
hmgb2a	2.3527e-01	6.2314e-02
atxn2l	2.3540e-01	6.2359e-02
CDK2AP1	2.3578e-01	6.2497e-02
cipca	2.3659e-01	6.2789e-02
ncapg	2.3682e-01	6.2872e-02
si:ch211-225g23.1	2.3710e-01	6.2976e-02
dlgap5	2.3712e-01	6.2982e-02
psmd1	2.3765e-01	6.3174e-02
cnot11	2.3772e-01	6.3200e-02
zgc:56095	2.3806e-01	6.3322e-02
rack1	2.3878e-01	6.3585e-02
cirbpb	2.3899e-01	6.3659e-02
chek1	2.3961e-01	6.3885e-02
ighv1-4	2.4008e-01	6.4056e-02
rpl5a	2.4097e-01	6.4380e-02
eif3ea	2.4158e-01	6.4604e-02
rassf9	2.4276e-01	6.5032e-02
crip2	2.4446e-01	6.5656e-02
aspm	2.4497e-01	6.5843e-02
sox12	2.4498e-01	6.5847e-02
si:dkey-21e2.16	2.4541e-01	6.6007e-02
nono	2.4640e-01	6.6369e-02
hnrnpa0l	2.4716e-01	6.6651e-02
eef1b2	2.4721e-01	6.6669e-02
snrpf	2.4759e-01	6.6808e-02
FO681393.1	2.4763e-01	6.6823e-02
si:ch211-160j14.2	2.4788e-01	6.6916e-02
rps3a	2.4794e-01	6.6938e-02
mpnd	2.4796e-01	6.6945e-02
smarce1	2.4900e-01	6.7332e-02
si:ch211-8c17.2	2.4923e-01	6.7417e-02
atp23	2.4933e-01	6.7452e-02
kif2c	2.4941e-01	6.7484e-02
ptpro	2.4971e-01	6.7594e-02
mbd3a	2.5075e-01	6.7980e-02
actr3	2.5199e-01	6.8441e-02
rps23	2.5203e-01	6.8457e-02
ssr1	2.5241e-01	6.8598e-02
rps15a	2.5278e-01	6.8737e-02
ccnb1	2.5358e-01	6.9038e-02
CABZ01114053.1	2.5386e-01	6.9141e-02
hmbsa	2.5412e-01	6.9238e-02
mllt3	2.5440e-01	6.9342e-02
ercc6l	2.5455e-01	6.9400e-02
hmgb1b	2.5472e-01	6.9464e-02
tubb4b	2.5473e-01	6.9467e-02
gng2	2.5492e-01	6.9538e-02
tuba1a	2.5512e-01	6.9615e-02
si:ch73-380l3.3	2.5525e-01	6.9663e-02
hells	2.5540e-01	6.9720e-02
rpl36	2.5556e-01	6.9780e-02
si:ch1073-170o4.1	2.5616e-01	7.0004e-02
zgc:136410	2.5677e-01	7.0236e-02
nfyba	2.5719e-01	7.0391e-02
tuba8l3	2.5722e-01	7.0405e-02
aimp1	2.5823e-01	7.0785e-02
sf3b5	2.5830e-01	7.0812e-02
fam198a	2.5970e-01	7.1342e-02
dbx1a	2.6023e-01	7.1541e-02
fabp1b.2	2.6057e-01	7.1668e-02
ndor1	2.6195e-01	7.2194e-02
cdc20	2.6217e-01	7.2278e-02
si:ch1073-287p18.1	2.6258e-01	7.2435e-02
ddah2	2.6275e-01	7.2498e-02
marcksb	2.6317e-01	7.2659e-02
rps26l	2.6379e-01	7.2898e-02
rplp2l	2.6487e-01	7.3308e-02
si:ch211-23l10.3	2.6528e-01	7.3465e-02
galnt7	2.6575e-01	7.3647e-02
si:dkey-203a12.9	2.6594e-01	7.3720e-02
pigm	2.6622e-01	7.3826e-02
anapc10	2.6684e-01	7.4063e-02
dbx1b	2.6705e-01	7.4145e-02
si:ch211-114n24.6	2.6705e-01	7.4146e-02
rpl35a	2.6725e-01	7.4221e-02
si:ch211-236k19.2	2.6739e-01	7.4276e-02
shmt1	2.6761e-01	7.4361e-02
snrpd1	2.6801e-01	7.4515e-02
si:ch211-181l5.2	2.6845e-01	7.4682e-02
rpsa	2.6848e-01	7.4695e-02
fgfr4	2.6863e-01	7.4753e-02
mustn1b	2.6922e-01	7.4980e-02
si:ch211-93g23.2	2.6932e-01	7.5020e-02
PCP4 (1 of many)	2.6939e-01	7.5047e-02
cspg5a	2.7030e-01	7.5400e-02
rpl37	2.7049e-01	7.5473e-02
cxcl12b	2.7049e-01	7.5473e-02
rpl7a	2.7080e-01	7.5592e-02
CABZ01046432.1	2.7123e-01	7.5760e-02
rps6	2.7206e-01	7.6080e-02
metap1d	2.7304e-01	7.6461e-02
aurkb	2.7432e-01	7.6961e-02
b3gnt7l	2.7463e-01	7.7081e-02
si:zfos-223e1.2	2.7530e-01	7.7340e-02
kpna2	2.7654e-01	7.7827e-02
ccl38a.4	2.7710e-01	7.8045e-02
eif3d	2.7750e-01	7.8202e-02
sycn.1	2.7754e-01	7.8217e-02
tpm4a	2.7847e-01	7.8583e-02
rpl23a	2.7850e-01	7.8595e-02
caprin1b	2.7943e-01	7.8962e-02
rps13	2.8056e-01	7.9410e-02
si:ch211-13c6.2	2.8112e-01	7.9628e-02
BX664625.4	2.8112e-01	7.9629e-02
ciarta	2.8126e-01	7.9685e-02
pcna	2.8138e-01	7.9732e-02
si:ch211-194k22.8	2.8145e-01	7.9759e-02
mab21l1	2.8198e-01	7.9969e-02
bmp2a	2.8223e-01	8.0070e-02
si:ch211-156b7.4	2.8252e-01	8.0183e-02
ctrb1	2.8276e-01	8.0277e-02
eif3ba	2.8288e-01	8.0327e-02
rpl28	2.8308e-01	8.0406e-02
rpl19	2.8321e-01	8.0456e-02
rps29	2.8322e-01	8.0460e-02
jagn1a	2.8349e-01	8.0569e-02
cdkn2aipnl	2.8355e-01	8.0592e-02
uhrf1	2.8377e-01	8.0679e-02
hbba2	2.8395e-01	8.0749e-02
apex1	2.8487e-01	8.1118e-02
cdc25b	2.8559e-01	8.1404e-02
acta1a	2.8573e-01	8.1458e-02
cfap36	2.8584e-01	8.1501e-02
si:dkey-14d8.7	2.8587e-01	8.1516e-02
prlhr2b	2.8601e-01	8.1570e-02
CABZ01061501.1	2.8683e-01	8.1899e-02
ncapd3	2.8700e-01	8.1965e-02
hsp90ab1	2.8726e-01	8.2070e-02
rps7	2.8734e-01	8.2100e-02
taf13	2.8779e-01	8.2282e-02
rpl6	2.8803e-01	8.2379e-02
EIF1B	2.8816e-01	8.2432e-02
si:ch211-71m22.1	2.8820e-01	8.2446e-02
ddb1	2.8843e-01	8.2539e-02
dstyk	2.8850e-01	8.2565e-02
mlnr	2.8866e-01	8.2633e-02
si:dkey-77g12.4	2.8893e-01	8.2739e-02
bub1	2.8914e-01	8.2824e-02
myo1ca	2.8955e-01	8.2986e-02
en1b	2.8956e-01	8.2993e-02
BX640408.1	2.8959e-01	8.3005e-02
rps27a	2.9014e-01	8.3224e-02
eif3k	2.9018e-01	8.3241e-02
ssr2	2.9024e-01	8.3265e-02
actb1	2.9024e-01	8.3266e-02
snrpg	2.9071e-01	8.3453e-02
tomm7	2.9079e-01	8.3487e-02
syncrip	2.9104e-01	8.3586e-02
apoda.2	2.9120e-01	8.3651e-02
cacnb3a	2.9156e-01	8.3799e-02
haus3	2.9165e-01	8.3834e-02
gpsm2	2.9263e-01	8.4230e-02
rpl32	2.9288e-01	8.4329e-02
frzb	2.9299e-01	8.4374e-02
eef1g	2.9320e-01	8.4461e-02
ighj1-1	2.9328e-01	8.4490e-02
rpl18a	2.9337e-01	8.4528e-02
rnpep	2.9361e-01	8.4625e-02
hnrnph1l	2.9363e-01	8.4635e-02
h2afva	2.9443e-01	8.4959e-02
irx3b	2.9467e-01	8.5054e-02
b2m	2.9560e-01	8.5432e-02
rps25	2.9565e-01	8.5452e-02
ccdc77	2.9602e-01	8.5602e-02
INAVA	2.9660e-01	8.5839e-02
ints10	2.9666e-01	8.5863e-02
poldip3	2.9674e-01	8.5896e-02
grpel2	2.9687e-01	8.5950e-02
mhc2dab	2.9710e-01	8.6044e-02
eif3m	2.9723e-01	8.6097e-02
cdkn1ca	2.9777e-01	8.6315e-02
CR759843.2	2.9779e-01	8.6327e-02
si:ch211-234c11.3	2.9787e-01	8.6360e-02
DCHS2	2.9900e-01	8.6818e-02
rpl8	2.9900e-01	8.6820e-02
hnrnpl	2.9919e-01	8.6896e-02
si:ch73-1a9.3	2.9922e-01	8.6909e-02
sarnp	2.9995e-01	8.7209e-02
neo1a	3.0015e-01	8.7290e-02
gpam	3.0040e-01	8.7392e-02
rps6kb1b	3.0041e-01	8.7398e-02
srsf10b	3.0049e-01	8.7430e-02
marcksl1a	3.0069e-01	8.7512e-02
dld	3.0070e-01	8.7516e-02
scaf4a	3.0108e-01	8.7672e-02
hmgcra	3.0113e-01	8.7693e-02
rps11	3.0138e-01	8.7794e-02
eif3i	3.0150e-01	8.7846e-02
foxk2	3.0165e-01	8.7908e-02
tmem214	3.0173e-01	8.7938e-02
polb	3.0213e-01	8.8104e-02
zgc:172122	3.0256e-01	8.8282e-02
zgc:154142	3.0290e-01	8.8423e-02
smx5	3.0304e-01	8.8480e-02
gkap1	3.0349e-01	8.8664e-02
plrg1	3.0354e-01	8.8684e-02
aurka	3.0361e-01	8.8714e-02
sf3b2	3.0384e-01	8.8811e-02
iars	3.0391e-01	8.8837e-02
col10a1a	3.0398e-01	8.8866e-02
pvalb8	3.0409e-01	8.8911e-02
si:ch211-276i12.11	3.0416e-01	8.8943e-02
si:busm1-57f23.1	3.0424e-01	8.8973e-02
hapln1a	3.0426e-01	8.8985e-02
ponzr6	3.0430e-01	8.9000e-02
rpl4	3.0501e-01	8.9291e-02
ncln	3.0547e-01	8.9482e-02
h2afy2	3.0589e-01	8.9659e-02
chtf18	3.0594e-01	8.9677e-02
crnkl1	3.0597e-01	8.9689e-02
selenom	3.0605e-01	8.9725e-02
sf3b4	3.0632e-01	8.9837e-02
irx3a	3.0651e-01	8.9917e-02
nme2b.1	3.0666e-01	8.9976e-02
med16	3.0689e-01	9.0072e-02
ubap2a	3.0691e-01	9.0081e-02
zbtb11	3.0692e-01	9.0085e-02
rpl5b	3.0735e-01	9.0263e-02
sox3	3.0768e-01	9.0400e-02
ddx39ab	3.0785e-01	9.0471e-02
scmh1	3.0787e-01	9.0479e-02
uba52	3.0801e-01	9.0538e-02
rpl17	3.0842e-01	9.0709e-02
si:dkey-126g1.9	3.0862e-01	9.0792e-02
eef1db	3.0919e-01	9.1030e-02
sox2	3.0937e-01	9.1105e-02
si:ch211-76m11.15	3.0981e-01	9.1290e-02
rpl27	3.0988e-01	9.1319e-02
CABZ01103860.1	3.1020e-01	9.1451e-02
pdzrn4	3.1029e-01	9.1489e-02
ift74	3.1075e-01	9.1683e-02
ndrg1b	3.1088e-01	9.1737e-02
irx1a	3.1119e-01	9.1867e-02
si:dkeyp-73d8.8	3.1121e-01	9.1876e-02
tpt1	3.1151e-01	9.1999e-02
nsa2	3.1199e-01	9.2200e-02
si:dkey-205h13.1	3.1214e-01	9.2265e-02
plp1a	3.1247e-01	9.2404e-02
aebp2	3.1262e-01	9.2464e-02
esco2	3.1268e-01	9.2492e-02
zdhhc24	3.1269e-01	9.2497e-02
lrrc74a	3.1274e-01	9.2518e-02
chaf1b	3.1276e-01	9.2523e-02
fam167b	3.1288e-01	9.2575e-02
si:dkey-49c17.4	3.1312e-01	9.2675e-02
rars	3.1312e-01	9.2677e-02
jpt1b	3.1321e-01	9.2714e-02
lysmd1	3.1323e-01	9.2724e-02
rpl15	3.1326e-01	9.2734e-02
sec24a	3.1347e-01	9.2821e-02
CABZ01003476.1	3.1369e-01	9.2915e-02
cebp1	3.1369e-01	9.2916e-02
rps9	3.1374e-01	9.2936e-02
eomesa	3.1387e-01	9.2990e-02
sox19a	3.1430e-01	9.3174e-02
lrp6	3.1451e-01	9.3260e-02
slc7a9	3.1465e-01	9.3320e-02
hspb6	3.1470e-01	9.3343e-02
anln	3.1471e-01	9.3344e-02
si:dkeyp-73g8.5	3.1485e-01	9.3405e-02
atxn7l2b	3.1510e-01	9.3509e-02
tuba1c	3.1514e-01	9.3525e-02
uchl3	3.1526e-01	9.3577e-02
rpl7	3.1579e-01	9.3802e-02
wdr18	3.1603e-01	9.3903e-02
atf7ip2	3.1633e-01	9.4028e-02
qars	3.1633e-01	9.4031e-02
si:dkey-199f5.6	3.1642e-01	9.4069e-02
kbtbd12	3.1653e-01	9.4113e-02
bambib	3.1660e-01	9.4143e-02
rps14	3.1667e-01	9.4174e-02
rps15	3.1680e-01	9.4229e-02
FO704772.2	3.1706e-01	9.4341e-02
si:ch211-266i6.3	3.1717e-01	9.4387e-02
zgc:194627	3.1723e-01	9.4409e-02
col9a1a	3.1759e-01	9.4561e-02
hdac1	3.1768e-01	9.4600e-02
sar1b	3.1832e-01	9.4872e-02
AL929305.1	3.1836e-01	9.4891e-02
BX248510.12	3.1850e-01	9.4948e-02
spsb4a	3.1858e-01	9.4983e-02
nr1d2a	3.1907e-01	9.5191e-02
col1a1b	3.1923e-01	9.5261e-02
dnph1	3.1944e-01	9.5347e-02
dusp14	3.1944e-01	9.5348e-02
abtb1	3.1944e-01	9.5349e-02
nsdhl	3.1957e-01	9.5404e-02
ighv2-1	3.1967e-01	9.5446e-02
pak2b	3.1972e-01	9.5466e-02
CU914487.1	3.1994e-01	9.5562e-02
rsrp1	3.2030e-01	9.5716e-02
si:dkey-157e10.8	3.2041e-01	9.5762e-02
gas1a	3.2045e-01	9.5778e-02
zgc:110269	3.2048e-01	9.5793e-02
celf3b	3.2083e-01	9.5943e-02
prss59.1	3.2089e-01	9.5968e-02
uncx	3.2117e-01	9.6085e-02
mrpl35	3.2142e-01	9.6193e-02
parn	3.2153e-01	9.6238e-02
si:dkeyp-73b11.8	3.2154e-01	9.6243e-02
rpl22	3.2167e-01	9.6300e-02
gstk4	3.2170e-01	9.6311e-02
brd7	3.2172e-01	9.6320e-02
ubtd1b	3.2176e-01	9.6337e-02
wfs1b	3.2187e-01	9.6384e-02
znf330	3.2194e-01	9.6417e-02
bhlhe22	3.2214e-01	9.6503e-02
rpl10	3.2234e-01	9.6586e-02
id2a	3.2258e-01	9.6691e-02
dpf1	3.2262e-01	9.6707e-02
rpl31	3.2279e-01	9.6781e-02
cct4	3.2295e-01	9.6849e-02
si:dkey-284p5.3	3.2309e-01	9.6908e-02
bzw1a	3.2324e-01	9.6971e-02
si:dkey-23a23.1	3.2331e-01	9.7002e-02
synpr	3.2333e-01	9.7010e-02
bmp4	3.2341e-01	9.7043e-02
hmgb1a	3.2401e-01	9.7302e-02
rps10	3.2428e-01	9.7417e-02
serinc2l	3.2445e-01	9.7490e-02
dvl3a	3.2475e-01	9.7618e-02
edn1	3.2500e-01	9.7728e-02
tinagl1	3.2504e-01	9.7744e-02
pou2f1b	3.2516e-01	9.7798e-02
col7a1l	3.2545e-01	9.7919e-02
rpl21	3.2546e-01	9.7927e-02
mhc1uka	3.2556e-01	9.7968e-02
rpl35	3.2562e-01	9.7992e-02
bcl7a	3.2609e-01	9.8197e-02
FO834823.1	3.2610e-01	9.8203e-02
hdgfl2	3.2653e-01	9.8384e-02
hmgcs1	3.2671e-01	9.8466e-02
atf3	3.2690e-01	9.8545e-02
arrdc2	3.2699e-01	9.8585e-02
rfc4	3.2707e-01	9.8621e-02
cstf1	3.2720e-01	9.8673e-02
zgc:194242	3.2736e-01	9.8746e-02
ajuba	3.2737e-01	9.8751e-02
faua	3.2745e-01	9.8783e-02
tlx3b	3.2783e-01	9.8949e-02
neurod4	3.2786e-01	9.8960e-02
arpp19b	3.2795e-01	9.9001e-02
rps2	3.2800e-01	9.9022e-02
baiap2l1b	3.2813e-01	9.9079e-02
efemp2b	3.2818e-01	9.9099e-02
zgc:171779	3.2820e-01	9.9110e-02
si:ch73-1a9.4	3.2877e-01	9.9353e-02
nop53	3.2905e-01	9.9476e-02
psmd3	3.2917e-01	9.9527e-02
tmem70	3.2920e-01	9.9540e-02
sqlea	3.2933e-01	9.9597e-02
lhx1a	3.2949e-01	9.9667e-02
ift20	3.2963e-01	9.9728e-02
si:ch1073-145m9.1	3.3011e-01	9.9933e-02
itgam	3.3049e-01	1.0010e-01
rpl29	3.3068e-01	1.0018e-01
cks1b	3.3070e-01	1.0019e-01
eef1da	3.3142e-01	1.0051e-01
BX005022.1	3.3161e-01	1.0059e-01
cd99l2	3.3178e-01	1.0066e-01
CR405710.2	3.3181e-01	1.0068e-01
epb41l3b	3.3215e-01	1.0082e-01
ppib	3.3285e-01	1.0113e-01
slc25a3b	3.3313e-01	1.0125e-01
zgc:194398	3.3358e-01	1.0145e-01
zwilch	3.3405e-01	1.0165e-01
ssrp1a	3.3424e-01	1.0174e-01
zgc:153704	3.3431e-01	1.0176e-01
ugt5c1	3.3436e-01	1.0179e-01
prc1b	3.3451e-01	1.0185e-01
prss59.2	3.3478e-01	1.0197e-01
ireb2	3.3479e-01	1.0198e-01
sap130b	3.3481e-01	1.0199e-01
hnrnpa0b	3.3482e-01	1.0199e-01
zgc:158689	3.3492e-01	1.0203e-01
cep55l	3.3500e-01	1.0207e-01
scamp5a	3.3521e-01	1.0216e-01
lmnb1	3.3522e-01	1.0216e-01
rps4x	3.3541e-01	1.0225e-01
rpl11	3.3554e-01	1.0231e-01
sycn.2	3.3558e-01	1.0232e-01
pth2	3.3570e-01	1.0237e-01
cyp2aa8	3.3571e-01	1.0238e-01
rpl36a	3.3592e-01	1.0247e-01
plaa	3.3613e-01	1.0256e-01
rpl3	3.3625e-01	1.0262e-01
gabra1	3.3630e-01	1.0264e-01
meis2b	3.3644e-01	1.0270e-01
lsm8	3.3648e-01	1.0272e-01
ppp1r3ca	3.3686e-01	1.0288e-01
dpysl4	3.3690e-01	1.0290e-01
snrpe	3.3697e-01	1.0293e-01
rps28	3.3777e-01	1.0329e-01
st6galnac1.1	3.3785e-01	1.0332e-01
igf2bp1	3.3797e-01	1.0338e-01
hpf1	3.3801e-01	1.0339e-01
tmem154	3.3802e-01	1.0340e-01
rpl26	3.3813e-01	1.0344e-01
hs3st1l2	3.3836e-01	1.0355e-01
fmnl2b	3.3836e-01	1.0355e-01
scn4ba	3.3853e-01	1.0362e-01
CR628395.1	3.3857e-01	1.0364e-01
CABZ01068600.1	3.3890e-01	1.0378e-01
parvab	3.3951e-01	1.0406e-01
gar1	3.3952e-01	1.0406e-01
rpl18	3.3991e-01	1.0423e-01
mid1ip1b	3.4001e-01	1.0427e-01
cdv3	3.4002e-01	1.0428e-01
rnf44	3.4006e-01	1.0430e-01
wdr62	3.4031e-01	1.0441e-01
cct5	3.4076e-01	1.0461e-01
CU571310.1	3.4091e-01	1.0467e-01
uba2	3.4091e-01	1.0467e-01
brpf1	3.4092e-01	1.0468e-01
atoh1c	3.4099e-01	1.0471e-01
rps12	3.4114e-01	1.0478e-01
aspscr1	3.4120e-01	1.0480e-01
si:ch211-240l19.7	3.4126e-01	1.0483e-01
slc35g2b	3.4156e-01	1.0496e-01
fzd7a	3.4159e-01	1.0497e-01
mab21l2	3.4167e-01	1.0501e-01
psmb1	3.4190e-01	1.0511e-01
tomm40	3.4204e-01	1.0517e-01
naca	3.4206e-01	1.0518e-01
ruvbl2	3.4210e-01	1.0520e-01
si:ch211-145b13.6	3.4224e-01	1.0526e-01
rps3	3.4230e-01	1.0529e-01
CABZ01052576.1	3.4232e-01	1.0530e-01
neurod2	3.4232e-01	1.0530e-01
her6	3.4246e-01	1.0536e-01
med19b	3.4247e-01	1.0537e-01
ccnjl	3.4262e-01	1.0543e-01
srrt	3.4277e-01	1.0550e-01
dtl	3.4280e-01	1.0551e-01
gins4	3.4295e-01	1.0558e-01
BX571715.1	3.4302e-01	1.0561e-01
psmd11a	3.4304e-01	1.0562e-01
knl1	3.4306e-01	1.0563e-01
mrpl21	3.4338e-01	1.0577e-01
psma3	3.4338e-01	1.0577e-01
ugt2b5	3.4344e-01	1.0579e-01
srsf7a	3.4388e-01	1.0599e-01
slit3	3.4390e-01	1.0600e-01
polr2b	3.4396e-01	1.0603e-01
mus81	3.4404e-01	1.0606e-01
nmt1a	3.4418e-01	1.0612e-01
rpl10a	3.4419e-01	1.0613e-01
si:ch211-266k8.4	3.4428e-01	1.0617e-01
zgc:110339	3.4439e-01	1.0622e-01
tmeff1b	3.4449e-01	1.0626e-01
rps17	3.4449e-01	1.0627e-01
lmnb2	3.4461e-01	1.0632e-01
tnika	3.4463e-01	1.0633e-01
galnt10	3.4466e-01	1.0634e-01
wdr61	3.4477e-01	1.0639e-01
dnajc8	3.4520e-01	1.0658e-01
sbno1	3.4521e-01	1.0659e-01
rbpms2a	3.4527e-01	1.0661e-01
dclk1b	3.4537e-01	1.0666e-01
CABZ01109480.1	3.4566e-01	1.0679e-01
zgc:92287	3.4570e-01	1.0680e-01
mfap2	3.4582e-01	1.0686e-01
cdk13	3.4589e-01	1.0689e-01
shisa7a	3.4595e-01	1.0692e-01
l3mbtl1a	3.4602e-01	1.0695e-01
zdhhc15a	3.4603e-01	1.0695e-01
cct3	3.4640e-01	1.0712e-01
arl4aa	3.4643e-01	1.0713e-01
rpl30	3.4661e-01	1.0721e-01
eif4ebp3l	3.4672e-01	1.0726e-01
CABZ01033205.1	3.4676e-01	1.0728e-01
si:dkey-11n14.1	3.4719e-01	1.0747e-01
kif20bb	3.4731e-01	1.0753e-01
sparc	3.4744e-01	1.0758e-01
CU570881.1	3.4747e-01	1.0759e-01
prdm13	3.4763e-01	1.0767e-01
BX248395.1	3.4765e-01	1.0768e-01
psma6a	3.4773e-01	1.0771e-01
adgre10	3.4782e-01	1.0775e-01
ppiab	3.4805e-01	1.0786e-01
hspa8	3.4811e-01	1.0788e-01
prss1	3.4821e-01	1.0793e-01
ezh2	3.4825e-01	1.0795e-01
hmgn7	3.4846e-01	1.0804e-01
tab3	3.4881e-01	1.0820e-01
